Wahlvorschlags Nr.,Wahlvorschlag
W 1,Zentrumspartei
W 2,Kommunistische Partei Deutschlands
W 3,Deutsche Demokratische Partei
W 4,Vereinigte Sozialdemokratische Partei
W 5,Vereinigte Bürgerliste der Deutschen Volkspartei
