Wahlvorschlags Nr.,Wahlvorschlag
W 1,Sozialdemokratische Partei (S.P.D.)
W 2,Kommunistische Partei Deutschlands
W 3,Zentrumspartei
W 5,National-Sozialistische Deutsche Arbeiter-Partei
W 13,Deutsche Demokratische Partei und Volksrechtpartei
W 14,Deutsche Volkspartei
W 17,Deutschnationale Volkspartei
W 18,Mittelstandsvereinigung (Wirtschaftspartei)
